date,drug_category,actual_sales,p10_demand,p50_demand,p90_demand,uncertainty_band,safety_stock,reorder_point,target_stock_lvl,simulated_inventory,stockout_risk,overstock_risk,replenishment_recommendation,recommended_order_qty,order_trigger
2019-02-04,M01AB,6.33,3.08,5.36,16.56,13.48,19.4,35.48,69.08,29.15,1,0,INCREASE REPLENISHMENT,3.0,REACTIVE (Below ROP)
2019-02-05,M01AB,5.33,3.43,5.38,16.56,13.13,19.36,35.5,69.04,37.82,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-02-06,M01AB,6.34,3.22,4.99,16.1,12.88,19.24,34.21,67.54,54.49,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-02-07,M01AB,2.33,2.99,4.73,15.84,12.85,19.24,33.43,66.76,51.15,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-02-08,M01AB,2.0,3.05,5.04,15.81,12.76,18.65,33.77,66.08,55.82,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-02-09,M01AB,6.68,4.0,5.54,16.26,12.26,18.57,35.19,67.35,57.82,0,0,MAINTAIN REPLENISHMENT,0.0,HEALTHY ZONE
2019-02-10,M01AB,3.3400000000000003,4.0,5.76,12.39,8.39,11.48,28.76,48.65,56.14,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-02-11,M01AB,8.0,3.45,5.27,12.05,8.6,11.74,27.55,47.89,54.8,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-02-12,M01AB,6.66,3.23,5.28,12.7,9.47,12.85,28.69,50.95,46.8,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-02-13,M01AB,4.0,2.88,5.05,12.7,9.82,13.25,28.4,51.35,40.14,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-02-14,M01AB,2.33,2.61,4.43,11.97,9.36,13.06,26.35,48.97,36.14,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-02-15,M01AB,5.34,3.2,4.72,12.26,9.06,13.06,27.22,49.84,38.81,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-02-16,M01AB,6.34,3.58,5.91,12.7,9.12,11.76,29.49,49.86,40.47,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-02-17,M01AB,2.34,2.93,5.13,11.83,8.9,11.6,26.99,47.09,35.13,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-02-18,M01AB,3.34,2.81,5.15,12.26,9.45,12.31,27.76,49.09,36.79,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-02-19,M01AB,3.33,2.93,4.9,12.02,9.09,12.33,27.03,48.39,38.45,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-02-20,M01AB,2.34,2.65,4.9,11.54,8.89,11.5,26.2,46.12,38.12,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-02-21,M01AB,1.66,2.48,4.46,11.21,8.73,11.69,25.07,45.32,40.78,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-02-22,M01AB,2.33,2.42,4.81,11.99,9.57,12.44,26.87,48.41,41.12,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-02-23,M01AB,5.01,2.78,5.58,13.35,10.57,13.46,30.2,53.51,39.79,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-02-24,M01AB,4.34,3.01,5.35,12.14,9.13,11.76,27.81,48.18,36.78,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-02-25,M01AB,5.34,2.54,5.09,11.27,8.73,10.7,25.97,44.51,37.44,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-02-26,M01AB,2.33,2.78,4.92,11.08,8.3,10.67,25.43,43.91,39.1,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-02-27,M01AB,5.0,2.62,4.86,10.4,7.78,9.6,24.18,40.8,36.77,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-02-28,M01AB,0.67,2.39,4.45,10.89,8.5,11.15,24.5,43.82,32.77,0,0,INCREASE REPLENISHMENT,8.0,PROACTIVE (Forward Shortfall)
2019-03-01,M01AB,1.33,3.18,4.69,11.21,8.03,11.29,25.36,44.92,36.1,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-03-02,M01AB,4.01,2.18,5.54,12.88,10.7,12.71,29.33,51.35,34.77,0,0,INCREASE REPLENISHMENT,8.0,PROACTIVE (Forward Shortfall)
2019-03-03,M01AB,8.0,2.65,5.36,11.91,9.26,11.34,27.42,47.07,38.76,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-04,M01AB,5.33,1.95,4.93,12.92,10.97,13.84,28.63,52.6,31.76,0,0,INCREASE REPLENISHMENT,13.0,PROACTIVE (Forward Shortfall)
2019-03-05,M01AB,3.01,2.37,5.09,13.07,10.7,13.82,29.09,53.03,34.43,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-03-06,M01AB,0.34,2.12,5.17,14.29,12.17,15.8,31.31,58.67,31.42,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-03-07,M01AB,7.33,2.48,4.6,13.08,10.6,14.69,28.49,53.93,44.08,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-08,M01AB,2.33,1.69,4.68,14.44,12.75,16.9,30.94,60.22,42.75,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-03-09,M01AB,6.34,2.94,5.6,14.0,11.06,14.55,31.35,56.55,49.42,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-10,M01AB,5.83,2.77,5.34,13.96,11.19,14.93,30.95,56.81,43.08,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-03-11,M01AB,14.66,2.5,5.11,13.33,10.83,14.24,29.57,54.23,46.25,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-03-12,M01AB,4.33,1.96,5.41,18.28,16.32,22.29,38.52,77.13,31.59,1,0,INCREASE REPLENISHMENT,38.0,REACTIVE (Below ROP)
2019-03-13,M01AB,2.67,2.39,4.76,17.4,15.01,21.89,36.17,74.09,32.26,1,0,INCREASE REPLENISHMENT,1.0,REACTIVE (Below ROP)
2019-03-14,M01AB,4.0,2.44,4.55,16.25,13.81,20.26,33.91,69.01,32.59,1,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-15,M01AB,2.83,2.52,4.75,16.55,14.03,20.44,34.69,70.09,66.59,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-03-16,M01AB,8.34,2.73,5.45,17.09,14.36,20.16,36.51,71.43,64.76,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-03-17,M01AB,6.68,2.77,5.28,17.18,14.41,20.61,36.45,72.15,56.42,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-03-18,M01AB,2.33,2.51,5.35,17.26,14.75,20.63,36.68,72.41,52.74,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-03-19,M01AB,9.0,2.26,4.98,12.24,9.98,12.57,27.51,49.29,54.41,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-20,M01AB,5.67,2.06,4.73,13.33,11.27,14.9,29.09,54.89,54.41,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-21,M01AB,2.33,2.53,4.48,12.58,10.05,14.03,27.47,51.77,55.74,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-22,M01AB,4.66,2.57,4.66,13.3,10.73,14.96,28.94,54.86,53.41,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-03-23,M01AB,6.0,3.2,5.52,13.72,10.52,14.2,30.76,55.36,48.75,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-03-24,M01AB,6.0,2.87,5.36,12.93,10.06,13.11,29.19,51.9,42.75,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-03-25,M01AB,4.84,2.78,5.07,12.51,9.73,12.89,28.1,50.42,38.75,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-03-26,M01AB,4.0,2.47,5.07,11.83,9.36,11.71,26.92,47.2,38.91,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-03-27,M01AB,6.34,2.49,4.87,11.55,9.06,11.57,26.18,46.22,37.91,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-03-28,M01AB,1.33,2.31,4.66,12.46,10.15,13.51,27.49,50.89,35.57,0,0,INCREASE REPLENISHMENT,11.0,PROACTIVE (Forward Shortfall)
2019-03-29,M01AB,3.0,2.15,4.89,10.97,8.82,10.53,25.2,43.44,36.24,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-03-30,M01AB,4.66,3.12,5.57,12.05,8.93,11.22,27.93,47.37,36.24,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-03-31,M01AB,7.0,3.03,5.52,11.56,8.53,10.46,27.02,45.14,42.58,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-04-01,M01AB,3.01,2.4,5.19,11.69,9.29,11.26,26.83,46.33,35.58,0,0,INCREASE REPLENISHMENT,8.0,PROACTIVE (Forward Shortfall)
2019-04-02,M01AB,7.67,2.47,5.16,11.84,9.37,11.57,27.05,47.09,33.57,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-04-03,M01AB,5.33,2.05,4.78,12.32,10.27,13.06,27.4,50.02,27.9,0,0,INCREASE REPLENISHMENT,11.0,PROACTIVE (Forward Shortfall)
2019-04-04,M01AB,4.5,2.06,4.79,12.13,10.07,12.71,27.08,49.1,30.57,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-04-05,M01AB,6.34,2.3,5.01,11.41,9.11,11.09,26.12,45.32,30.07,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-04-06,M01AB,3.34,3.29,5.58,11.92,8.63,10.98,27.72,46.74,34.73,0,0,INCREASE REPLENISHMENT,8.0,PROACTIVE (Forward Shortfall)
2019-04-07,M01AB,6.0,3.36,6.09,12.27,8.91,10.7,28.97,47.51,35.39,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-04-08,M01AB,5.0,2.22,5.0,11.46,9.24,11.19,26.19,45.57,30.39,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-04-09,M01AB,2.83,2.82,5.22,12.64,9.82,12.85,28.51,50.77,33.39,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-04-10,M01AB,2.34,2.9,4.86,11.78,8.88,11.99,26.57,47.33,34.56,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-04-11,M01AB,7.33,2.81,4.84,12.1,9.29,12.57,27.09,48.87,36.22,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-04-12,M01AB,4.33,2.88,5.0,13.04,10.16,13.93,28.93,53.05,38.89,0,0,INCREASE REPLENISHMENT,12.0,PROACTIVE (Forward Shortfall)
2019-04-13,M01AB,4.5,3.4,5.62,12.34,8.94,11.64,28.5,48.66,34.56,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-04-14,M01AB,4.0,3.52,5.58,11.82,8.3,10.81,27.55,46.27,33.06,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-04-15,M01AB,4.66,3.14,5.3,12.05,8.91,11.69,27.59,47.84,41.06,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-04-16,M01AB,2.0,3.09,5.06,10.82,7.73,9.98,25.16,42.44,36.4,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-04-17,M01AB,7.0,3.0,4.92,11.45,8.45,11.31,26.07,45.66,36.4,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-04-18,M01AB,0.0,2.62,4.79,11.8,9.18,12.14,26.51,47.54,34.4,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-04-19,M01AB,3.34,2.3,4.89,12.06,9.76,12.42,27.09,48.6,34.4,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-04-20,M01AB,9.0,2.38,5.54,12.68,10.3,12.37,28.99,50.41,36.06,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-04-21,M01AB,3.84,2.83,5.29,14.3,11.47,15.61,31.48,58.51,36.06,0,0,INCREASE REPLENISHMENT,17.0,PROACTIVE (Forward Shortfall)
2019-04-22,M01AB,8.67,2.42,5.15,14.17,11.75,15.62,31.07,58.13,33.22,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-04-23,M01AB,9.0,2.45,5.23,15.27,12.82,17.39,33.08,63.2,29.55,1,0,INCREASE REPLENISHMENT,14.0,REACTIVE (Below ROP)
2019-04-24,M01AB,2.34,2.21,5.07,15.24,13.03,17.61,32.82,63.33,37.55,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-04-25,M01AB,14.01,2.53,4.84,15.42,12.89,18.33,32.85,64.59,38.21,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-04-26,M01AB,6.34,1.37,5.03,16.77,15.4,20.33,35.42,70.64,38.2,0,0,INCREASE REPLENISHMENT,20.0,PROACTIVE (Forward Shortfall)
2019-04-27,M01AB,17.34,2.27,5.74,16.74,14.47,19.05,36.27,69.27,40.86,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-04-28,M01AB,0.0,1.79,5.79,20.28,18.49,25.1,42.47,85.94,27.52,1,0,INCREASE REPLENISHMENT,34.0,REACTIVE (Below ROP)
2019-04-29,M01AB,5.33,2.75,5.24,21.45,18.7,28.08,43.8,92.43,47.52,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-04-30,M01AB,2.0,2.59,5.16,21.58,18.99,28.44,43.92,93.18,47.19,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-05-01,M01AB,2.34,2.28,4.76,21.93,19.65,29.74,44.02,95.53,79.19,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-02,M01AB,1.6800000000000002,2.84,4.73,21.91,19.07,29.76,43.95,95.49,82.85,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-05-03,M01AB,4.01,2.78,4.66,20.32,17.54,27.12,41.1,88.08,87.17,0,0,MAINTAIN REPLENISHMENT,0.0,HEALTHY ZONE
2019-05-04,M01AB,9.0,2.63,5.34,20.95,18.32,27.04,43.06,89.89,88.16,0,0,MAINTAIN REPLENISHMENT,0.0,HEALTHY ZONE
2019-05-05,M01AB,7.0,2.9,5.26,14.19,11.29,15.47,31.25,58.04,81.16,0,1,REDUCE REPLENISHMENT,0.0,OVERSTOCKED
2019-05-06,M01AB,4.68,2.66,4.92,13.94,11.28,15.62,30.38,57.44,74.16,0,1,REDUCE REPLENISHMENT,0.0,OVERSTOCKED
2019-05-07,M01AB,2.66,2.88,5.21,14.02,11.14,15.26,30.89,57.32,69.48,0,1,REDUCE REPLENISHMENT,0.0,OVERSTOCKED
2019-05-08,M01AB,9.0,3.31,5.02,13.24,9.93,14.24,29.3,53.96,66.82,0,1,REDUCE REPLENISHMENT,0.0,OVERSTOCKED
2019-05-09,M01AB,5.0,2.99,5.0,13.88,10.89,15.38,30.38,57.02,57.82,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-05-10,M01AB,5.0,3.37,4.97,12.74,9.37,13.46,28.37,51.68,52.82,0,1,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-05-11,M01AB,5.34,3.44,5.94,13.47,10.03,13.04,30.86,53.45,47.82,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-05-12,M01AB,4.67,2.83,5.0,11.63,8.8,11.48,26.48,46.37,42.48,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-05-13,M01AB,5.0,2.81,5.0,11.95,9.14,12.04,27.04,47.89,37.81,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-14,M01AB,6.67,2.7,4.98,12.99,10.29,13.87,28.81,52.84,38.81,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-05-15,M01AB,4.0,2.73,4.84,11.89,9.16,12.21,26.73,47.88,32.14,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-05-16,M01AB,5.0,2.8,4.54,11.18,8.38,11.5,25.12,45.04,33.14,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-05-17,M01AB,2.66,2.73,4.63,12.18,9.45,13.08,26.97,49.62,38.14,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-05-18,M01AB,10.0,3.18,5.37,13.0,9.82,13.22,29.33,52.22,36.48,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-19,M01AB,6.67,2.96,5.16,12.63,9.67,12.94,28.42,50.83,27.48,1,0,INCREASE REPLENISHMENT,9.0,REACTIVE (Below ROP)
2019-05-20,M01AB,3.67,2.64,5.24,13.45,10.81,14.22,29.94,54.57,30.81,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-05-21,M01AB,5.34,2.78,5.52,13.3,10.52,13.48,30.04,53.38,32.14,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-05-22,M01AB,8.16,2.62,4.89,12.54,9.92,13.25,27.92,50.87,35.8,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-05-23,M01AB,2.33,2.63,4.67,12.93,10.3,14.31,28.32,53.1,37.64,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-05-24,M01AB,5.34,2.47,4.74,13.47,11.0,15.12,29.34,55.53,38.31,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-25,M01AB,11.0,3.26,5.64,13.79,10.53,14.12,31.04,55.49,35.97,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-26,M01AB,6.33,3.06,5.31,14.03,10.97,15.1,31.03,57.19,34.97,0,0,INCREASE REPLENISHMENT,13.0,PROACTIVE (Forward Shortfall)
2019-05-27,M01AB,4.67,2.95,5.28,13.98,11.03,15.07,30.91,57.01,33.64,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-05-28,M01AB,4.33,2.91,5.31,13.73,10.82,14.58,30.51,55.77,33.97,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-05-29,M01AB,5.5,3.1,5.27,13.88,10.78,14.91,30.72,56.55,42.64,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-05-30,M01AB,5.0,2.78,4.75,12.98,10.2,14.25,28.5,53.19,43.14,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-05-31,M01AB,5.99,2.77,4.93,12.25,9.48,12.68,27.47,49.43,41.14,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-06-01,M01AB,3.0,3.72,6.38,13.66,9.94,12.61,31.75,53.59,40.15,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-06-02,M01AB,4.0,3.09,5.53,12.56,9.47,12.18,28.77,49.86,40.15,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
